model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-B-16,motion_blur,shot_noise,1,0.37400000000000005,0.5030000000000001,0.73,0.8770000000000002,-0.14700000000000024,subadditive
ViT-B-16,fog,jpeg_compression,1,0.22799999999999998,0.509,0.72,0.737,-0.017000000000000015,subadditive
ViT-B-16,fog,brightness,1,0.22799999999999998,0.02400000000000002,0.22999999999999998,0.252,-0.02200000000000002,subadditive
ViT-B-16,fog,contrast,1,0.22799999999999998,0.121,0.42000000000000004,0.349,0.07100000000000006,superadditive
ViT-B-16,fog,shot_noise,1,0.22799999999999998,0.5030000000000001,0.762,0.7310000000000001,0.030999999999999917,superadditive
ViT-B-16,jpeg_compression,brightness,1,0.509,0.02400000000000002,0.521,0.533,-0.01200000000000001,subadditive
ViT-B-16,jpeg_compression,contrast,1,0.509,0.121,0.523,0.63,-0.10699999999999998,subadditive
ViT-B-16,jpeg_compression,shot_noise,1,0.509,0.5030000000000001,0.646,1.012,-0.366,subadditive
ViT-B-16,brightness,contrast,1,0.02400000000000002,0.121,0.129,0.14500000000000002,-0.016000000000000014,subadditive
ViT-B-16,brightness,shot_noise,1,0.02400000000000002,0.5030000000000001,0.509,0.5270000000000001,-0.018000000000000127,subadditive
ViT-B-16,contrast,shot_noise,1,0.121,0.5030000000000001,0.742,0.6240000000000001,0.11799999999999988,superadditive
ViT-B-16,gaussian_noise,motion_blur,3,0.7040000000000001,0.666,0.77,1.37,-0.6000000000000001,subadditive
ViT-B-16,gaussian_noise,fog,3,0.7040000000000001,0.48400000000000004,0.761,1.1880000000000002,-0.42700000000000016,subadditive
ViT-B-16,gaussian_noise,jpeg_compression,3,0.7040000000000001,0.636,0.7030000000000001,1.34,-0.637,subadditive
ViT-B-16,gaussian_noise,brightness,3,0.7040000000000001,0.128,0.733,0.8320000000000001,-0.09900000000000009,subadditive
ViT-B-16,gaussian_noise,contrast,3,0.7040000000000001,0.29900000000000004,0.726,1.0030000000000001,-0.27700000000000014,subadditive
ViT-B-16,gaussian_noise,shot_noise,3,0.7040000000000001,0.6960000000000001,0.748,1.4000000000000001,-0.6520000000000001,subadditive
ViT-B-16,motion_blur,fog,3,0.666,0.48400000000000004,0.773,1.1500000000000001,-0.3770000000000001,subadditive
ViT-B-16,motion_blur,jpeg_compression,3,0.666,0.636,0.763,1.302,-0.539,subadditive
ViT-B-16,motion_blur,brightness,3,0.666,0.128,0.7020000000000001,0.794,-0.09199999999999997,subadditive
ViT-B-16,motion_blur,contrast,3,0.666,0.29900000000000004,0.76,0.9650000000000001,-0.20500000000000007,subadditive
ViT-B-16,motion_blur,shot_noise,3,0.666,0.6960000000000001,0.768,1.362,-0.5940000000000001,subadditive
ViT-B-16,fog,jpeg_compression,3,0.48400000000000004,0.636,0.768,1.12,-0.3520000000000001,subadditive
ViT-B-16,fog,brightness,3,0.48400000000000004,0.128,0.506,0.6120000000000001,-0.1060000000000001,subadditive
ViT-B-16,fog,contrast,3,0.48400000000000004,0.29900000000000004,0.7230000000000001,0.7830000000000001,-0.06000000000000005,subadditive
ViT-B-16,fog,shot_noise,3,0.48400000000000004,0.6960000000000001,0.776,1.1800000000000002,-0.40400000000000014,subadditive
ViT-B-16,jpeg_compression,brightness,3,0.636,0.128,0.653,0.764,-0.11099999999999999,subadditive
ViT-B-16,jpeg_compression,contrast,3,0.636,0.29900000000000004,0.672,0.935,-0.263,subadditive
